Profile: Function timing, sorted by time
Date:    Wed Jan 26 00:11:30 2005


Program Statistics
------------------
    Command line at 2005 Jan 26 00:10: "D:\Games\QUAKE\qmb-V1" 
    Total time: 23034.221 millisecond
    Time outside of functions: 255.550 millisecond
    Call depth: 89
    Total functions: 1576
    Total hits: 30876687
    Function coverage: 42.0%
    Overhead Calculated 1224
    Overhead Average 1224

Module Statistics for qmb-v1.exe
--------------------------------
    Time in module: 22778.671 millisecond
    Percent of time in module: 100.0%
    Functions in module: 1576
    Hits in module: 30876687
    Module function coverage: 42.0%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
    2689.982  11.8     4376.230  19.2    23157 _Surf_DrawTextureChainsFour (gl_renderworld.obj)
    2441.941  10.7     2654.376  11.7      242 _GL_LoadTexture (gl_draw.obj)
    1570.616   6.9     1754.045   7.7     6482 _DrawParticles (gl_rpart.obj)
    1310.020   5.8     1310.020   5.8  1692618 _SV_HullPointContents (world.obj)
     880.760   3.9      880.760   3.9     6508 _GL_EndRendering (gl_vidnt.obj)
     879.033   3.9      932.765   4.1    85233 _EmitWaterPolysMulti (gl_warp.obj)
     843.562   3.7      843.562   3.7        1 _bSetupPixelFormat (gl_vidnt.obj)
     684.365   3.0      684.365   3.0  6872170 _BoxOnPlaneSide (mathlib.obj)
     637.123   2.8      637.123   2.8     8271 _GL_DrawAliasBlendedFrame (gl_mesh.obj)
     610.701   2.7      662.998   2.9    23188 _R_DrawQ3Model (gl_md3.obj)
     510.553   2.2      510.553   2.2    12964 _SNDDMA_GetDMAPos (snd_win.obj)
     497.972   2.2     1510.133   6.6  1224049 _R_RecursiveWorldNode (gl_rsurf.obj)
     440.943   1.9      441.150   1.9        1 _VID_SetFullDIBMode (gl_vidnt.obj)
     394.918   1.7     1079.242   4.7  1847948 _R_CullBox (gl_rmain.obj)
     376.438   1.7     2327.945  10.2     6482 _R_UpdateAll (gl_rpart.obj)
     360.905   1.6      409.636   1.8  3344630 _SV_RecursiveHullCheck (world.obj)
     331.719   1.5      339.428   1.5     6483 _Sys_SendKeyEvents (sys_win.obj)
     328.749   1.4      329.103   1.4        1 _VID_Shutdown (gl_vidnt.obj)
     306.563   1.3      306.563   1.3  1201176 _Draw_Character (gl_draw.obj)
     293.060   1.3      293.060   1.3     6482 _R_Clear (gl_rmain.obj)
     284.285   1.2      284.285   1.2        3 _VID_SetPalette (gl_vidnt.obj)
     264.663   1.2      264.663   1.2    45374 _Draw_AlphaFillFade (gl_draw.obj)
     256.960   1.1      256.960   1.1  2914242 _VectorNormalize (mathlib.obj)
     249.807   1.1      249.807   1.1    53265 _Draw_AlphaPic (gl_draw.obj)
     230.891   1.0      230.891   1.0    85770 _R_AddDynamicLights (gl_rsurf.obj)
     214.092   0.9      214.092   0.9     7472 _GL_DrawAliasFrame (gl_mesh.obj)
     206.348   0.9      206.348   0.9   248629 _RecursiveLightPoint (gl_rlight.obj)
     189.383   0.8      420.274   1.8    96161 _R_BuildLightMap (gl_rsurf.obj)
     160.175   0.7      160.175   0.7   309552 _jpeg_idct_islow (jidctint.obj)
     159.596   0.7      159.596   0.7    25928 _Draw_AlphaFill (gl_draw.obj)
     156.433   0.7      174.418   0.8     6482 _CL_RelinkEntities (cl_main.obj)
     148.538   0.7      148.538   0.7   590367 _GL_QuadPointsForBeam (gl_rpart.obj)
     134.280   0.6      210.968   0.9      242 _GL_Upload32 (gl_draw.obj)
     110.309   0.5      110.341   0.5        1 _SNDDMA_InitDirect (snd_win.obj)
     109.458   0.5      782.696   3.4        1 _VID_SetMode (gl_vidnt.obj)
     109.443   0.5      522.270   2.3  1294756 _R_RenderDynamicLightmaps (gl_rsurf.obj)
     108.951   0.5      108.951   0.5   109469 _R_MarkLights (gl_rlight.obj)
     108.808   0.5      168.075   0.7   103184 _decode_mcu (jdhuff.obj)
     108.741   0.5     1370.285   6.0  1590007 _CL_TruePointContents (gl_rpart.obj)
     100.842   0.4     1949.998   8.6   126980 _R_DrawAliasModel (gl_mesh.obj)
      96.906   0.4      107.027   0.5     6482 _R_PolyBlend (gl_rmain.obj)
      96.210   0.4      113.840   0.5    12970 _S_TransferStereo16 (snd_mix.obj)
      96.054   0.4      100.689   0.4        2 _png_read_image (libpng13.dll)
      86.160   0.4       86.208   0.4        1 _VID_InitFullDIB (gl_vidnt.obj)
      85.667   0.4       85.667   0.4     6482 _IN_Accumulate (in_win.obj)
      79.958   0.4       79.958   0.4   838226 _GL_SelectTexture (gl_draw.obj)
      74.243   0.3      123.551   0.5    23157 _Surf_DrawExtraChainsFour (gl_renderworld.obj)
      65.236   0.3      105.397   0.5   448380 _SND_Spatialize (snd_dma.obj)
      65.018   0.3       65.018   0.3    62284 _SND_PaintChannelFrom8 (snd_mix.obj)
      57.019   0.3     1822.788   8.0        1 _VID_Init (gl_vidnt.obj)
      56.736   0.2       56.736   0.2    13467 _ycc_rgb_convert (jdcolor.obj)
      55.093   0.2       55.093   0.2     6482 _R_SetupGL (gl_rmain.obj)
      54.739   0.2       54.739   0.2     6506 _Draw_Crosshair (gl_draw.obj)
      53.867   0.2      493.804   2.2       29 _LoadJPG (gl_jpg.obj)
      52.246   0.2       52.246   0.2    32449 _R_BlendedRotateForEntity (gl_rmain.obj)
      45.896   0.2       51.054   0.2   748978 _jpeg_fill_bit_buffer (jdhuff.obj)
      43.307   0.2       43.317   0.2        1 _GL_UploadLightmap (gl_rsurf.obj)
      42.718   0.2      499.850   2.2    59209 _R_DrawBrushModel (gl_rsurf.obj)
      41.675   0.2       76.596   0.3      135 _Image_Resample32Lerp (gl_draw.obj)
      39.223   0.2       39.223   0.2      868 _Sys_FileTime (sys_win.obj)
      37.964   0.2       37.964   0.2     6482 _Draw_TileClear (gl_draw.obj)
      36.619   0.2    13322.368  58.5     6508 _V_RenderView (view.obj)
      34.921   0.2       34.921   0.2     6302 _Image_Resample32LerpLine (gl_draw.obj)
      34.419   0.2     2184.868   9.6     6482 _R_DrawEntitiesOnList (gl_rmain.obj)
      33.018   0.1       33.018   0.1    23157 _R_RotateForEntity (gl_rmain.obj)
      32.173   0.1       54.649   0.2   224175 _GL_DisableTMU (gl_rsurf.obj)
