Profile: Function timing, sorted by time
Date:    Mon May 17 15:57:30 2004


Program Statistics
------------------
    Command line at 2004 May 17 15:54: "D:\Games\QUAKE\qmb-V1" 
    Total time: 97571.555 millisecond
    Time outside of functions: 547.600 millisecond
    Call depth: 89
    Total functions: 1625
    Total hits: 6328576
    Function coverage: 34.8%
    Overhead Calculated 8
    Overhead Average 8

Module Statistics for qmb-v1.exe
--------------------------------
    Time in module: 97023.955 millisecond
    Percent of time in module: 100.0%
    Functions in module: 1625
    Hits in module: 6328576
    Module function coverage: 34.8%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
   29701.593  30.6    29701.595  30.6      259 _GL_Upload32 (gl_draw.obj)
   11062.794  11.4    40764.058  42.0      274 _GL_LoadTexture (gl_draw.obj)
    9116.139   9.4     9121.706   9.4     9990 _Draw_AlphaPic (gl_draw.obj)
    3877.544   4.0     7091.636   7.3     4250 _R_DrawTextureChains (gl_rsurf.obj)
    3614.290   3.7     3740.412   3.9   853770 _SV_RecursiveHullCheck (world.obj)
    2656.649   2.7     2656.649   2.7  1351418 _BoxOnPlaneSide (mathlib.obj)
    2448.056   2.5     2561.305   2.6       58 _png_read_image (libpng12.dll)
    2435.938   2.5     5093.281   5.2   360015 _R_CullBox (gl_rmain.obj)
    2063.267   2.1     6845.882   7.1   236951 _R_RecursiveWorldNode (gl_rsurf.obj)
    1994.345   2.1     1994.345   2.1   530792 _Draw_Character (gl_draw.obj)
    1403.338   1.4     1660.226   1.7    20409 _EmitWaterPolysMulti (gl_warp.obj)
    1116.666   1.2     1116.666   1.2     1182 _DrawParticles (gl_rpart.obj)
    1070.721   1.1     1107.259   1.1        1 _VID_SetFullDIBMode (gl_vidnt.obj)
     968.570   1.0     2310.639   2.4       92 _Con_DrawConsole (console.obj)
     816.008   0.8      816.008   0.8   190827 _SV_HullPointContents (world.obj)
     806.076   0.8      806.076   0.8     1644 _GL_DrawAliasBlendedFrame (gl_mesh.obj)
     786.777   0.8      787.866   0.8       43 _LoadTGA (gl_tga.obj)
     781.831   0.8      781.831   0.8     1225 _GL_EndRendering (gl_vidnt.obj)
     698.856   0.7      698.856   0.7     2363 _SNDDMA_GetDMAPos (snd_win.obj)
     652.456   0.7      678.590   0.7     4061 _R_DrawQ3Model (gl_md3.obj)
     592.969   0.6      592.969   0.6        1 _Sys_PageIn (sys_win.obj)
     584.974   0.6     1280.727   1.3   162821 _CL_TruePointContents (gl_rpart.obj)
     547.757   0.6      704.717   0.7        1 _VID_Shutdown (gl_vidnt.obj)
     547.134   0.6      958.749   1.0        2 _Mod_LoadFaces (gl_model.obj)
     497.800   0.5     2853.431   2.9    23725 _R_DrawAliasModel (gl_mesh.obj)
     472.128   0.5     1188.759   1.2   254562 _R_RenderDynamicLightmaps (gl_rsurf.obj)
     466.023   0.5      466.023   0.5        3 _VID_SetPalette (gl_vidnt.obj)
     451.847   0.5      451.872   0.5        2 _GL_UploadLightmap (gl_rsurf.obj)
     421.034   0.4      880.228   0.9    23308 _CL_ParseUpdate (cl_parse.obj)
     420.797   0.4      544.373   0.6     5009 _S_TransferStereo16 (snd_mix.obj)
     416.048   0.4      779.274   0.8    31136 _R_BuildLightMap (gl_rsurf.obj)
     378.014   0.4      378.014   0.4     1627 _Sys_FileTime (sys_win.obj)
     364.414   0.4     5402.238   5.6     1182 _R_UpdateAll (gl_rpart.obj)
     363.225   0.4      363.225   0.4    16510 _R_AddDynamicLights (gl_rsurf.obj)
     361.944   0.4      361.944   0.4        1 _bSetupPixelFormat (gl_vidnt.obj)
     339.403   0.3      339.403   0.3   242935 _ShortNoSwap (common.obj)
     334.589   0.3      334.589   0.3     1182 _R_Clear (gl_rmain.obj)
     328.562   0.3      408.766   0.4    82059 _SND_Spatialize (snd_dma.obj)
     327.965   0.3      327.965   0.3   159448 _GL_SelectTexture (gl_draw.obj)
     325.703   0.3      325.703   0.3    10956 _AllocBlock (gl_rsurf.obj)
     324.354   0.3      324.354   0.3    44121 _RecursiveLightPoint (gl_rlight.obj)
     283.321   0.3      283.321   0.3    29976 _Q_strncasecmp (common.obj)
     273.514   0.3      415.650   0.4        2 _Mod_LoadNodes (gl_model.obj)
     272.792   0.3      272.792   0.3    24758 _SND_PaintChannelFrom8 (snd_mix.obj)
     255.316   0.3      255.316   0.3   182736 _VectorNormalize (mathlib.obj)
     246.194   0.3      246.194   0.3    21694 _R_MarkLights (gl_rlight.obj)
