Profile: Function timing, sorted by time
Date:    Mon May 17 19:03:51 2004


Program Statistics
------------------
    Command line at 2004 May 17 19:01: "D:\Games\QUAKE\qmb-V1" 
    Total time: 43536.023 millisecond
    Time outside of functions: 439.296 millisecond
    Call depth: 89
    Total functions: 1622
    Total hits: 6370985
    Function coverage: 34.1%
    Overhead Calculated 12
    Overhead Average 12

Module Statistics for qmb-v1.exe
--------------------------------
    Time in module: 43096.727 millisecond
    Percent of time in module: 100.0%
    Functions in module: 1622
    Hits in module: 6370985
    Module function coverage: 34.1%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
   16078.278  37.3    16078.273  37.3      235 _GL_Upload32 (gl_draw.obj)
    6030.129  14.0     6036.017  14.0    11506 _Draw_AlphaPic (gl_draw.obj)
    4910.217  11.4    20988.062  48.7      233 _GL_LoadTexture (gl_draw.obj)
    2359.967   5.5     3246.902   7.5     4707 _R_DrawTextureChains (gl_rsurf.obj)
    1021.223   2.4     1053.244   2.4       46 _png_read_image (libpng12.dll)
     928.766   2.2      814.759   1.9    21013 _EmitWaterPolysMulti (gl_warp.obj)
     852.678   2.0      852.678   2.0     1374 _DrawParticles (gl_rpart.obj)
     835.706   1.9      835.706   1.9        1 _Sys_PageIn (sys_win.obj)
     818.856   1.9      818.836   1.9        1 _SNDDMA_InitDirect (snd_win.obj)
     818.031   1.9      817.357   1.9        1 _VID_SetFullDIBMode (gl_vidnt.obj)
     700.664   1.6      700.664   1.6     1417 _GL_EndRendering (gl_vidnt.obj)
     611.729   1.4      611.729   1.4        3 _VID_SetPalette (gl_vidnt.obj)
     571.392   1.3      571.504   1.3        1 _VID_Shutdown (gl_vidnt.obj)
     543.024   1.3      543.024   1.3     2748 _SNDDMA_GetDMAPos (snd_win.obj)
     460.188   1.1      460.495   1.1       41 _LoadTGA (gl_tga.obj)
     454.651   1.1      454.651   1.1     1850 _GL_DrawAliasBlendedFrame (gl_mesh.obj)
     436.896   1.0      428.479   1.0     5172 _R_DrawQ3Model (gl_md3.obj)
     433.117   1.0      433.117   1.0        1 _bSetupPixelFormat (gl_vidnt.obj)
     374.920   0.9      374.920   0.9   206863 _SV_HullPointContents (world.obj)
     331.815   0.8      331.815   0.8     1374 _R_Clear (gl_rmain.obj)
     246.216   0.6      246.053   0.6        1 _VID_InitFullDIB (gl_vidnt.obj)
     195.633   0.5      191.308   0.4     1375 _Sys_SendKeyEvents (sys_win.obj)
     186.694   0.4      186.694   0.4     1114 _Sys_FileTime (sys_win.obj)
     186.139   0.4      186.139   0.4     9618 _Draw_AlphaFillFade (gl_draw.obj)
     178.951   0.4      178.951   0.4     1394 _GL_DrawAliasFrame (gl_mesh.obj)
     152.721   0.4      152.721   0.4   599393 _Draw_Character (gl_draw.obj)
     135.486   0.3      135.508   0.3        1 _GL_UploadLightmap (gl_rsurf.obj)
     128.490   0.3      166.811   0.4     4475 _S_TransferStereo16 (snd_mix.obj)
     123.996   0.3      123.996   0.3    18377 _R_AddDynamicLights (gl_rsurf.obj)
     113.992   0.3      237.987   0.6    27255 _R_BuildLightMap (gl_rsurf.obj)
     105.396   0.2      105.396   0.2    53070 _RecursiveLightPoint (gl_rlight.obj)
     104.465   0.2     1280.736   3.0        1 _VID_SetMode (gl_vidnt.obj)
     101.148   0.2      101.148   0.2     5496 _Draw_AlphaFill (gl_draw.obj)
      76.066   0.2       59.144   0.1     1374 _CL_RelinkEntities (cl_main.obj)
      73.203   0.2       73.203   0.2    24388 _SND_PaintChannelFrom8 (snd_mix.obj)
      57.717   0.1       65.482   0.2     1374 _R_PolyBlend (gl_rmain.obj)
      52.580   0.1       52.580   0.1     1374 _IN_Accumulate (in_win.obj)
      50.315   0.1       50.315   0.1     5139 _AllocBlock (gl_rsurf.obj)
      50.120   0.1       50.120   0.1     7042 _R_BlendedRotateForEntity (gl_rmain.obj)
      47.531   0.1       47.531   0.1        2 _LoadPCX (gl_pcx.obj)
      47.483   0.1     2274.600   5.3        1 _VID_Init (gl_vidnt.obj)
      45.762   0.1       45.762   0.1     4574 _Snd_WriteLinearBlastStereo16 (snd_mix.obj)
      41.177   0.1       41.177   0.1     1374 _R_SetupGL (gl_rmain.obj)
      39.389   0.1       44.503   0.1     2300 _CL_GetMessage (cl_demo.obj)
      35.337   0.1       35.337   0.1     1374 _Draw_TileClear (gl_draw.obj)
      32.719   0.1       19.545   0.0     4356 _Sys_FloatTime (sys_win.obj)
      32.151   0.1       32.151   0.1     2748 _Mod_PointInLeaf (gl_model.obj)
      30.914   0.1       30.914   0.1     2256 _fReadData (gl_png.obj)
      29.148   0.1      240.802   0.6      693 _COM_FindFile (common.obj)
      27.552   0.1       21.860   0.1      122 _ResampleSfx (snd_mem.obj)
      26.177   0.1       26.177   0.1     1417 _GL_Set2D (gl_draw.obj)
      26.078   0.1       26.078   0.1     5274 _CalcSurfaceExtents (gl_model.obj)
      25.776   0.1       25.352   0.1     1374 _R_MarkLeaves (gl_rsurf.obj)
      25.633   0.1        0.000   0.0     1374 _R_DrawParticles (gl_rpart.obj)
      24.425   0.1       24.425   0.1     4707 _R_RotateForEntity (gl_rmain.obj)
      23.599   0.1     1078.391   2.5       46 _LoadPNG (gl_png.obj)
      23.457   0.1     3059.499   7.1     1417 _V_RenderView (view.obj)
      21.327   0.0       21.327   0.0     1417 _R_DrawQmbHud (gl_hud.obj)
      21.009   0.0       21.009   0.0    27136 _CRC_ProcessByte (crc.obj)
      20.622   0.0       20.622   0.0    23618 _R_MarkLights (gl_rlight.obj)
      19.999   0.0       14.561   0.0        1 _IN_Init (in_win.obj)
      17.831   0.0       17.388   0.0      172 _Hunk_HighAllocName (zone.obj)
      17.050   0.0       26.548   0.1        1 _WINS_Init (net_wins.obj)
      15.935   0.0       15.935   0.0      187 _Sys_FileRead (sys_win.obj)
      15.480   0.0     4827.419  11.2       30 _Mod_LoadQ3Model (gl_md3.obj)
      14.737   0.0       14.737   0.0     1022 _Z_CheckHeap (zone.obj)
      14.129   0.0        0.000   0.0      210 _Cvar_RegisterVariable (cvar.obj)
      14.082   0.0        2.179   0.0     4119 _MSG_WriteAngle (common.obj)
      12.709   0.0    18166.031  42.2      172 _GL_LoadTexImage (gl_draw.obj)
      12.670   0.0       12.670   0.0      124 _Sys_FileClose (sys_win.obj)
      12.336   0.0      238.509   0.6     3333 _R_DrawBrush (gl_rsurf.obj)
      12.160   0.0    28034.443  65.1     1561 __Host_Frame (host.obj)
      11.889   0.0       11.889   0.0     7011 _Q_memset (common.obj)
      11.342   0.0        0.000   0.0        1 _CDAudio_Init (cd_win.obj)
      10.918   0.0       10.918   0.0     1785 _StripLength (gl_mesh.obj)
      10.487   0.0        6.823   0.0     2748 _CaptureHelper_GetSoundtime (capturehelpers.obj)
      10.157   0.0       10.157   0.0     6084 _Q_strncpy (common.obj)
       9.919   0.0        9.919   0.0        1 _WIPX_OpenSocket (net_wipx.obj)
       9.543   0.0        9.543   0.0        1 _WINS_OpenSocket (net_wins.obj)
       9.320   0.0        9.320   0.0     1417 _SCR_TileClear (gl_screen.obj)
       9.190   0.0     1112.551   2.6    27160 _R_DrawAliasModel (gl_mesh.obj)
       8.613   0.0        8.613   0.0     1022 _Z_TagMalloc (zone.obj)
       8.520   0.0        8.520   0.0     1503 _Q_strlen (common.obj)
       8.259   0.0      823.018   1.9     4707 _R_DrawWaterChain (gl_warp.obj)
       8.204   0.0     4057.815   9.4     1432 _SCR_UpdateScreen (gl_screen.obj)
       7.922   0.0      412.603   1.0     1374 _S_ExtraUpdate (snd_dma.obj)
       7.888   0.0        7.888   0.0     1374 _V_BoundOffsets (view.obj)
       7.885   0.0        2.556   0.0      722 _SubdividePolygon (gl_warp.obj)
       7.764   0.0        7.764   0.0     1374 _DoGamma (gl_rmain.obj)
       7.695   0.0        7.695   0.0     4370 _AngleVectors (mathlib.obj)
       7.051   0.0        2.594   0.0     1374 _V_CalcViewRoll (view.obj)
       6.822   0.0        6.822   0.0     5633 _addGrav (gl_rpart.obj)
       6.616   0.0        6.616   0.0       19 _Mod_FloodFillSkin (gl_model.obj)
       6.239   0.0        8.534   0.0      128 _Sys_FileOpenRead (sys_win.obj)
       6.223   0.0        6.223   0.0     1785 _FanLength (gl_mesh.obj)
       6.114   0.0        2.552   0.0     1417 _V_UpdatePalette (view.obj)
       6.103   0.0      315.035   0.7     2748 _S_Update_ (snd_dma.obj)
       5.556   0.0     2905.877   6.7       19 _Mod_LoadAllSkins (gl_model.obj)
       5.358   0.0       69.662   0.2      128 _S_PrecacheSound (snd_dma.obj)
       5.354   0.0        5.295   0.0      108 _R_DrawSpriteModel (gl_sprite.obj)
       5.243   0.0     1778.937   4.1      167 _loadimagepixels (gl_draw.obj)
       5.177   0.0      474.713   1.1     1417 _Sbar_Draw (sbar.obj)
       4.910   0.0        4.910   0.0     1374 _CL_UpdateTEnts (cl_tent.obj)
       4.886   0.0        2.533   0.0      501 _FindNextChunk (snd_mem.obj)
       4.869   0.0        4.869   0.0      676 _SND_PickChannel (snd_dma.obj)
       4.835   0.0      954.717   2.2     1374 _R_DrawWorld (gl_rsurf.obj)
       4.448   0.0      245.844   0.6    11830 _R_DrawBrushModel (gl_rsurf.obj)
       4.249   0.0        3.766   0.0      294 _Cache_Free (zone.obj)
       4.185   0.0        0.583   0.0       55 _R_ParseParticleEffect (gl_rpart.obj)
       4.071   0.0        4.071   0.0      813 _Sys_Printf (sys_win.obj)
       4.015   0.0        4.015   0.0        1 _S_Shutdown (snd_dma.obj)
       3.998   0.0        3.998   0.0     1374 _V_CalcBob (view.obj)
       3.991   0.0        3.991   0.0     1374 _Sys_ConsoleInput (sys_win.obj)
       3.954   0.0       10.603   0.0     5912 _Cache_FreeLow (zone.obj)
       3.899   0.0        1.839   0.0     1417 _CaptureHelper_OnUpdateScreen (capturehelpers.obj)
       3.899   0.0        3.899   0.0     1375 _IN_Commands (in_win.obj)
       3.783   0.0        3.783   0.0      213 _filelength (sys_win.obj)
       3.760   0.0        3.760   0.0        1 _CreateDSTTex (gl_warp.obj)
       3.549   0.0        3.549   0.0     1378 _SZ_Clear (common.obj)
       3.460   0.0        3.460   0.0     1374 _R_RenderDlights (gl_rlight.obj)
       3.332   0.0        3.332   0.0     1374 _R_AnimateLight (gl_rlight.obj)
       3.281   0.0        7.611   0.0      465 _Cache_TryAlloc (zone.obj)
       3.266   0.0        3.266   0.0     1417 _GL_BeginRendering (gl_vidnt.obj)
       3.226   0.0        3.226   0.0     2502 _Q_memcpy (common.obj)
       2.837   0.0        0.000   0.0        1 _Mod_LoadSubmodels (gl_model.obj)
       2.777   0.0     3073.882   7.1      142 _GL_Upload8 (gl_draw.obj)
       2.691   0.0        2.192   0.0      114 _Key_StringToKeynum (keys.obj)
       2.684   0.0        5.888   0.0        1 _Scrap_Upload (gl_draw.obj)
       2.531   0.0       43.947   0.1        1 _MakeParticleTexure (gl_rpart.obj)
       2.495   0.0        5.444   0.0     2748 _angledelta (view.obj)
       2.472   0.0        2.472   0.0     1417 _SCR_DrawPause (gl_screen.obj)
       2.462   0.0        2.462   0.0      342 _Hunk_FreeToHighMark (zone.obj)
       2.261   0.0       17.965   0.0       19 _GL_MakeAliasModelDisplayLists (gl_mesh.obj)
       2.136   0.0        2.136   0.0     4122 _Sbar_itoa (sbar.obj)
       2.104   0.0       31.044   0.1        4 _COM_LoadPackFile (common.obj)
       1.427   0.0       40.750   0.1     1374 _Sbar_DrawInventory (sbar.obj)
       1.413   0.0        1.413   0.0      172 _GL_FindTexture (gl_draw.obj)
       1.264   0.0      186.984   0.4        1 _R_InitOtherTextures (gl_rmisc.obj)
       1.226   0.0      634.828   1.5     3244 _R_SetupAliasBlendedFrame (gl_mesh.obj)
       1.169   0.0        1.169   0.0       46 _InitializeDemData (gl_png.obj)
       1.103   0.0        1.103   0.0        1 _Hunk_Check (zone.obj)
       0.980   0.0      153.947   0.4     7087 _Draw_TransPic (gl_draw.obj)
       0.894   0.0        0.962   0.0        1 _WIPX_Shutdown (net_wipx.obj)
