Profile: Function timing, sorted by time
Date:    Tue May 18 10:22:43 2004


Program Statistics
------------------
    Command line at 2004 May 18 10:20: "D:\Games\QUAKE\qmb-V1" 
    Total time: 58826.843 millisecond
    Time outside of functions: 341.562 millisecond
    Call depth: 96
    Total functions: 1591
    Total hits: 5771511
    Function coverage: 34.8%
    Overhead Calculated 10
    Overhead Average 10

Module Statistics for qmb-v1.exe
--------------------------------
    Time in module: 58485.281 millisecond
    Percent of time in module: 100.0%
    Functions in module: 1591
    Hits in module: 5771511
    Module function coverage: 34.8%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
   18878.837  32.3    18878.834  32.3      254 _GL_Upload32 (gl_draw.obj)
   10921.487  18.7    29816.878  51.0      254 _GL_LoadTexture (gl_draw.obj)
    3673.255   6.3     3673.255   6.3     1203 _Draw_Crosshair (gl_draw.obj)
    2526.402   4.3     4123.612   7.1     3951 _R_DrawTextureChains (gl_rsurf.obj)
    1827.007   3.1     1951.698   3.3       52 _png_read_image (libpng12.dll)
    1201.178   2.1     1207.540   2.1       52 _LoadTGA (gl_tga.obj)
    1166.259   2.0     1166.259   2.0   172180 _SV_HullPointContents (world.obj)
     975.345   1.7      975.111   1.7        1 _VID_SetFullDIBMode (gl_vidnt.obj)
     942.407   1.6      942.407   1.6        3 _VID_SetPalette (gl_vidnt.obj)
     928.199   1.6      928.199   1.6     1160 _DrawParticles (gl_rpart.obj)
     910.110   1.6      983.601   1.7    17938 _EmitWaterPolysMulti (gl_warp.obj)
     908.696   1.6      908.704   1.6        1 _SNDDMA_InitDirect (snd_win.obj)
     706.551   1.2      706.551   1.2     1203 _GL_EndRendering (gl_vidnt.obj)
     673.997   1.2     1373.188   2.3   445240 _R_RecursiveWorldNode (gl_rsurf.obj)
     670.047   1.1      670.168   1.1        1 _VID_Shutdown (gl_vidnt.obj)
     649.631   1.1      649.631   1.1     1554 _GL_DrawAliasBlendedFrame (gl_mesh.obj)
     623.173   1.1      623.173   1.1   372405 _Draw_Character (gl_draw.obj)
     600.460   1.0      689.223   1.2   806699 _SV_RecursiveHullCheck (world.obj)
     563.727   1.0      563.727   1.0     2320 _SNDDMA_GetDMAPos (snd_win.obj)
     539.213   0.9      539.213   0.9  1262690 _BoxOnPlaneSide (mathlib.obj)
     501.591   0.9      501.591   0.9        1 _bSetupPixelFormat (gl_vidnt.obj)
     430.819   0.7      451.986   0.8     4413 _R_DrawQ3Model (gl_md3.obj)
     357.572   0.6      493.305   0.8     4378 _S_TransferStereo16 (snd_mix.obj)
     338.169   0.6      338.169   0.6    23413 _SND_PaintChannelFrom8 (snd_mix.obj)
     316.584   0.5      513.969   0.9    24244 _R_BuildLightMap (gl_rsurf.obj)
     288.380   0.5      288.380   0.5     1160 _R_Clear (gl_rmain.obj)
     253.055   0.4      251.444   0.4     1161 _Sys_SendKeyEvents (sys_win.obj)
     214.836   0.4      214.899   0.4        1 _VID_InitFullDIB (gl_vidnt.obj)
     203.542   0.3      743.450   1.3   338359 _R_CullBox (gl_rmain.obj)
     197.385   0.3      197.385   0.3    15555 _R_AddDynamicLights (gl_rsurf.obj)
     186.878   0.3     1850.169   3.2    22835 _R_DrawAliasModel (gl_mesh.obj)
     183.200   0.3      183.200   0.3    45208 _RecursiveLightPoint (gl_rlight.obj)
     181.851   0.3     2084.270   3.6     1160 _R_UpdateAll (gl_rpart.obj)
     179.604   0.3      179.604   0.3     1205 _GL_DrawAliasFrame (gl_mesh.obj)
     178.481   0.3      178.481   0.3     9583 _Draw_AlphaPic (gl_draw.obj)
     167.122   0.3      185.355   0.3      184 _COM_MultipleSearch (common.obj)
     138.520   0.2      138.543   0.2        1 _GL_UploadLightmap (gl_rsurf.obj)
     136.281   0.2      136.281   0.2     4477 _Snd_WriteLinearBlastStereo16 (snd_mix.obj)
     134.451   0.2      134.451   0.2     8120 _Draw_AlphaFillFade (gl_draw.obj)
     123.714   0.2      123.714   0.2     2673 _fReadData (gl_png.obj)
     122.810   0.2      122.810   0.2    40282 _R_MarkLights (gl_rlight.obj)
     117.088   0.2      117.088   0.2     5139 _AllocBlock (gl_rsurf.obj)
     104.358   0.2     1685.989   2.9        1 _VID_SetMode (gl_vidnt.obj)
     103.562   0.2      106.670   0.2     1160 _R_PolyBlend (gl_rmain.obj)
     101.772   0.2      104.664   0.2     1160 _CL_RelinkEntities (cl_main.obj)
     101.263   0.2      150.495   0.3     5144 _BuildSurfaceDisplayList (gl_rsurf.obj)
      97.854   0.2       97.854   0.2      412 _Sys_FileTime (sys_win.obj)
      97.704   0.2      107.284   0.2      122 _ResampleSfx (snd_mem.obj)
      93.295   0.2     1170.643   2.0   145655 _CL_TruePointContents (gl_rpart.obj)
      87.893   0.2       87.893   0.2     4640 _Draw_AlphaFill (gl_draw.obj)
      84.285   0.1       84.285   0.1   133763 _VectorNormalize (mathlib.obj)
      76.925   0.1       76.925   0.1     1160 _IN_Accumulate (in_win.obj)
      74.259   0.1      109.308   0.2    22150 _CL_ParseUpdate (cl_parse.obj)
      70.914   0.1       70.914   0.1   120616 _ShortNoSwap (common.obj)
      70.522   0.1       84.843   0.1    44101 _GL_DisableTMU (gl_rsurf.obj)
      61.177   0.1      184.211   0.3     3609 _Draw_String (gl_draw.obj)
      57.947   0.1     1999.835   3.4     1160 _R_DrawEntitiesOnList (gl_rmain.obj)
      57.729   0.1     2815.044   4.8        1 _VID_Init (gl_vidnt.obj)
      50.908   0.1     2011.983   3.4       52 _LoadPNG (gl_png.obj)
      50.364   0.1      358.351   0.6     9807 _R_DrawBrushModel (gl_rsurf.obj)
      49.088   0.1       49.088   0.1    70297 _MSG_ReadByte (common.obj)
      47.283   0.1    11919.962  20.4     1160 _R_RenderView (gl_rmain.obj)
      46.360   0.1       66.095   0.1    32917 _GL_EnableTMU (gl_rsurf.obj)
      45.341   0.1       45.341   0.1   143442 _GL_SelectTexture (gl_draw.obj)
      45.147   0.1     3057.615   5.2     1160 _R_DrawParticles (gl_rpart.obj)
      45.105   0.1       79.377   0.1        1 _Mod_LoadFaces (gl_model.obj)
      43.576   0.1       43.576   0.1     6841 _Q_memset (common.obj)
      42.983   0.1       84.946   0.1    80702 _SND_Spatialize (snd_dma.obj)
      42.392   0.1       42.392   0.1       19 _Mod_FloodFillSkin (gl_model.obj)
      42.292   0.1      731.515   1.3    16226 _TraceLineN (gl_rpart.obj)
      42.187   0.1       42.187   0.1        1 _CreateDSTTex (gl_warp.obj)
      39.073   0.1      958.609   1.6     2320 _S_PaintChannels (snd_mix.obj)
      38.159   0.1       64.992   0.1     5912 _Hunk_AllocName (zone.obj)
      38.123   0.1       45.093   0.1    27749 _MSG_ReadCoord (common.obj)
      37.398   0.1       37.398   0.1     6012 _R_BlendedRotateForEntity (gl_rmain.obj)
      34.498   0.1       34.498   0.1     2320 _Mod_PointInLeaf (gl_model.obj)
      33.838   0.1       34.379   0.1     6959 _MSG_WriteByte (common.obj)
      33.717   0.1       87.518   0.1     1101 _Con_DrawNotify (console.obj)
      31.836   0.1       31.836   0.1     1203 _GL_Set2D (gl_draw.obj)
      31.612   0.1       31.612   0.1        1 _LoadPCX (gl_pcx.obj)
      31.306   0.1       25.913   0.0    31629 _Cache_Check (zone.obj)
      31.121   0.1       31.121   0.1     4371 _Mod_SetParent (gl_model.obj)
      30.846   0.1       29.963   0.1     3834 _Sys_FloatTime (sys_win.obj)
      29.460   0.1       29.460   0.1     1160 _R_SetupGL (gl_rmain.obj)
      28.800   0.0       27.569   0.0     9160 _CaptureHelper_IsActive (capturehelpers.obj)
      28.199   0.0      241.656   0.4    24045 _S_LoadSound (snd_mem.obj)
      28.151   0.0       46.944   0.1     3951 _R_DrawExtraChains (gl_rsurf.obj)
      26.042   0.0      885.973   1.5     1160 _S_Update (snd_dma.obj)
      25.980   0.0    47611.440  81.4     1467 __Host_Frame (host.obj)
      25.387   0.0       21.861   0.0     2086 _CL_GetMessage (cl_demo.obj)
      24.690   0.0     1573.655   2.7     2320 _S_Update_ (snd_dma.obj)
      24.646   0.0     6699.824  11.5       19 _Mod_LoadAliasModel (gl_model.obj)
      23.921   0.0       23.921   0.0     2288 _Q_memcpy (common.obj)
      22.721   0.0       22.721   0.0     1785 _FanLength (gl_mesh.obj)
      22.718   0.0       22.718   0.0     5274 _CalcSurfaceExtents (gl_model.obj)
      22.228   0.0       22.228   0.0      187 _Sys_FileRead (sys_win.obj)
      21.302   0.0    10163.834  17.4       30 _Mod_LoadQ3Model (gl_md3.obj)
      21.281   0.0       21.351   0.0        1 _WIPX_Shutdown (net_wipx.obj)
