Profile: Function timing, sorted by time
Date:    Tue May 18 21:03:32 2004


Program Statistics
------------------
    Command line at 2004 May 18 21:01: "D:\Games\QUAKE\qmb-V1" 
    Total time: 62840.413 millisecond
    Time outside of functions: 458.215 millisecond
    Call depth: 96
    Total functions: 1588
    Total hits: 5599058
    Function coverage: 34.8%
    Overhead Calculated 11
    Overhead Average 11

Module Statistics for qmb-v1.exe
--------------------------------
    Time in module: 62382.198 millisecond
    Percent of time in module: 100.0%
    Functions in module: 1588
    Hits in module: 5599058
    Module function coverage: 34.8%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
   19711.742  31.6    19711.737  31.6      243 _GL_Upload32 (gl_draw.obj)
   11463.668  18.4    31208.204  50.0      243 _GL_LoadTexture (gl_draw.obj)
    4070.367   6.5     4070.367   6.5   380809 _Draw_Character (gl_draw.obj)
    2607.256   4.2     4428.221   7.1     3749 _R_DrawTextureChains (gl_rsurf.obj)
    2244.555   3.6     2245.233   3.6       40 _LoadTGA (gl_tga.obj)
    1439.866   2.3     1565.325   2.5       52 _png_read_image (libpng12.dll)
    1334.939   2.1     1334.939   2.1   166674 _SV_HullPointContents (world.obj)
    1074.470   1.7     1163.319   1.9    17460 _EmitWaterPolysMulti (gl_warp.obj)
     966.574   1.5      966.609   1.5        1 _SNDDMA_InitDirect (snd_win.obj)
     921.187   1.5      921.187   1.5        3 _VID_SetPalette (gl_vidnt.obj)
     911.625   1.5      911.625   1.5     1205 _Sys_FileTime (sys_win.obj)
     864.254   1.4      864.360   1.4        1 _VID_SetFullDIBMode (gl_vidnt.obj)
     797.593   1.3      870.565   1.4     4242 _R_DrawQ3Model (gl_md3.obj)
     766.546   1.2      766.546   1.2     1117 _DrawParticles (gl_rpart.obj)
     666.292   1.1      666.422   1.1        1 _VID_Shutdown (gl_vidnt.obj)
     646.021   1.0      646.021   1.0     1160 _GL_EndRendering (gl_vidnt.obj)
     641.925   1.0      641.925   1.0      187 _Sys_FileRead (sys_win.obj)
     639.229   1.0      771.225   1.2   819957 _SV_RecursiveHullCheck (world.obj)
     633.606   1.0     2201.628   3.5       52 _LoadPNG (gl_png.obj)
     621.013   1.0      621.013   1.0        1 _bSetupPixelFormat (gl_vidnt.obj)
     585.604   0.9      585.604   0.9     1492 _GL_DrawAliasBlendedFrame (gl_mesh.obj)
     542.441   0.9      542.441   0.9     2234 _SNDDMA_GetDMAPos (snd_win.obj)
     383.662   0.6      763.515   1.2   327767 _R_CullBox (gl_rmain.obj)
     378.984   0.6      378.984   0.6  1224300 _BoxOnPlaneSide (mathlib.obj)
     353.835   0.6     1020.603   1.6   431415 _R_RecursiveWorldNode (gl_rsurf.obj)
     314.409   0.5      540.580   0.9    23823 _R_BuildLightMap (gl_rsurf.obj)
     295.985   0.5      295.985   0.5     1117 _R_Clear (gl_rmain.obj)
     288.757   0.5      288.757   0.5    23203 _SND_PaintChannelFrom8 (snd_mix.obj)
     260.241   0.4      359.969   0.6     4439 _S_TransferStereo16 (snd_mix.obj)
     235.457   0.4      235.457   0.4     1198 _GL_DrawAliasFrame (gl_mesh.obj)
     226.171   0.4      226.171   0.4    15018 _R_AddDynamicLights (gl_rsurf.obj)
     211.019   0.3      210.927   0.3        1 _VID_InitFullDIB (gl_vidnt.obj)
     204.884   0.3      204.905   0.3        1 _GL_UploadLightmap (gl_rsurf.obj)
     173.705   0.3      170.801   0.3     1118 _Sys_SendKeyEvents (sys_win.obj)
     170.871   0.3      170.871   0.3    43534 _RecursiveLightPoint (gl_rlight.obj)
     164.538   0.3      199.616   0.3     1117 _CL_RelinkEntities (cl_main.obj)
     155.313   0.2      155.313   0.2     7819 _Draw_AlphaFillFade (gl_draw.obj)
     145.177   0.2      207.683   0.3    77498 _SND_Spatialize (snd_dma.obj)
     141.693   0.2      168.137   0.3        1 _IN_StartupJoystick (in_win.obj)
     126.786   0.2     2128.828   3.4     1117 _R_UpdateAll (gl_rpart.obj)
     124.191   0.2      124.191   0.2     2673 _fReadData (gl_png.obj)
     117.471   0.2      117.471   0.2     1117 _IN_Accumulate (in_win.obj)
     117.470   0.2      117.470   0.2     9248 _Draw_AlphaPic (gl_draw.obj)
     116.416   0.2      594.548   1.0   230120 _R_RenderDynamicLightmaps (gl_rsurf.obj)
     113.442   0.2      113.442   0.2    39219 _R_MarkLights (gl_rlight.obj)
     108.618   0.2     2080.686   3.3    21931 _R_DrawAliasModel (gl_mesh.obj)
     106.391   0.2     1490.592   2.4        1 _VID_SetMode (gl_vidnt.obj)
     104.264   0.2      104.264   0.2     5139 _AllocBlock (gl_rsurf.obj)
      95.579   0.2       79.471   0.1    22320 _CL_ParseUpdate (cl_parse.obj)
      94.912   0.2       94.912   0.2     4543 _Snd_WriteLinearBlastStereo16 (snd_mix.obj)
