Profile: Function timing, sorted by time
Date:    Tue May 18 21:56:11 2004


Program Statistics
------------------
    Command line at 2004 May 18 21:53: "D:\Games\QUAKE\qmb-V1" 
    Total time: 58836.405 millisecond
    Time outside of functions: 514.092 millisecond
    Call depth: 96
    Total functions: 1595
    Total hits: 5517750
    Function coverage: 34.9%
    Overhead Calculated 11
    Overhead Average 11

Module Statistics for qmb-v1.exe
--------------------------------
    Time in module: 58322.313 millisecond
    Percent of time in module: 100.0%
    Functions in module: 1595
    Hits in module: 5517750
    Module function coverage: 34.9%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
   18924.772  32.4    18924.768  32.4      243 _GL_Upload32 (gl_draw.obj)
   11323.895  19.4    30253.012  51.9      243 _GL_LoadTexture (gl_draw.obj)
    4033.189   6.9     4033.189   6.9   348504 _Draw_Character (gl_draw.obj)
    2273.673   3.9     3941.156   6.8     1106 _Surf_DrawTextureChainsFour (gl_renderworld.obj)
    1863.443   3.2     1979.422   3.4       52 _png_read_image (libpng12.dll)
    1210.264   2.1     1211.220   2.1       40 _LoadTGA (gl_tga.obj)
    1048.452   1.8     1048.452   1.8        3 _VID_SetPalette (gl_vidnt.obj)
    1028.686   1.8     1028.686   1.8   165923 _SV_HullPointContents (world.obj)
    1008.201   1.7     1124.727   1.9    17182 _EmitWaterPolysMulti (gl_warp.obj)
     929.241   1.6      929.242   1.6        1 _SNDDMA_InitDirect (snd_win.obj)
     864.343   1.5      864.343   1.5     1106 _DrawParticles (gl_rpart.obj)
     854.453   1.5      853.889   1.5        1 _VID_SetFullDIBMode (gl_vidnt.obj)
     649.339   1.1      649.459   1.1        1 _VID_Shutdown (gl_vidnt.obj)
     617.194   1.1      617.194   1.1     1149 _GL_EndRendering (gl_vidnt.obj)
     606.163   1.0      606.163   1.0  1210159 _BoxOnPlaneSide (mathlib.obj)
     583.645   1.0      583.645   1.0     1483 _GL_DrawAliasBlendedFrame (gl_mesh.obj)
     556.791   1.0      611.438   1.0     4225 _R_DrawQ3Model (gl_md3.obj)
     530.834   0.9      530.834   0.9        1 _bSetupPixelFormat (gl_vidnt.obj)
     517.085   0.9      517.085   0.9     2212 _SNDDMA_GetDMAPos (snd_win.obj)
     489.545   0.8     1261.774   2.2   426532 _R_RecursiveWorldNode (gl_rsurf.obj)
     362.513   0.6      472.378   0.8   808805 _SV_RecursiveHullCheck (world.obj)
     358.873   0.6      358.873   0.6    23604 _SND_PaintChannelFrom8 (snd_mix.obj)
     329.071   0.6      568.179   1.0    23772 _R_BuildLightMap (gl_rsurf.obj)
     322.959   0.6      322.959   0.6     1106 _R_Clear (gl_rmain.obj)
     285.910   0.5      473.106   0.8     4410 _S_TransferStereo16 (snd_mix.obj)
     259.578   0.4      305.707   0.5     2638 _R_DrawTextureChains (gl_rsurf.obj)
     256.940   0.4      863.954   1.5   324211 _R_CullBox (gl_rmain.obj)
     239.108   0.4      239.108   0.4    14991 _R_AddDynamicLights (gl_rsurf.obj)
     225.411   0.4      225.411   0.4     1205 _Sys_FileTime (sys_win.obj)
     218.375   0.4      218.375   0.4     1171 _GL_DrawAliasFrame (gl_mesh.obj)
     202.440   0.3      202.339   0.3        1 _VID_InitFullDIB (gl_vidnt.obj)
     198.521   0.3     1842.202   3.2    21837 _R_DrawAliasModel (gl_mesh.obj)
     189.295   0.3      193.521   0.3     1107 _Sys_SendKeyEvents (sys_win.obj)
     186.635   0.3      186.635   0.3     7742 _Draw_AlphaFillFade (gl_draw.obj)
     182.928   0.3      182.928   0.3     4514 _Snd_WriteLinearBlastStereo16 (snd_mix.obj)
     169.915   0.3      169.915   0.3     9125 _Draw_AlphaPic (gl_draw.obj)
     169.348   0.3      169.348   0.3    43451 _RecursiveLightPoint (gl_rlight.obj)
     166.873   0.3      166.896   0.3        1 _GL_UploadLightmap (gl_rsurf.obj)
     148.968   0.3     1605.570   2.8     1106 _R_UpdateAll (gl_rpart.obj)
     135.208   0.2     1659.344   2.8        1 _VID_SetMode (gl_vidnt.obj)
     132.091   0.2      514.018   0.9     9305 _R_DrawBrushModel (gl_rsurf.obj)
     123.553   0.2      123.553   0.2     4424 _Draw_AlphaFill (gl_draw.obj)
     114.714   0.2      114.714   0.2     2673 _fReadData (gl_png.obj)
     105.312   0.2      115.924   0.2      122 _ResampleSfx (snd_mem.obj)
     102.404   0.2       96.138   0.2     1106 _CL_RelinkEntities (cl_main.obj)
      98.233   0.2      162.751   0.3    76961 _SND_Spatialize (snd_dma.obj)
      98.221   0.2       98.221   0.2     5139 _AllocBlock (gl_rsurf.obj)
      83.956   0.1     1002.384   1.7   139006 _CL_TruePointContents (gl_rpart.obj)
      81.106   0.1       95.945   0.2     1106 _R_PolyBlend (gl_rmain.obj)
      77.597   0.1       77.274   0.1    34680 _GL_DisableTMU (gl_rsurf.obj)
      76.810   0.1       76.810   0.1    39081 _R_MarkLights (gl_rlight.obj)
      75.965   0.1      959.183   1.6     2212 _S_PaintChannels (snd_mix.obj)
      74.565   0.1       74.565   0.1   129750 _VectorNormalize (mathlib.obj)
      73.247   0.1       60.826   0.1        1 _CDAudio_Init (cd_win.obj)
      72.223   0.1       99.241   0.2        1 _IN_StartupJoystick (in_win.obj)
      69.144   0.1       69.144   0.1     1106 _IN_Accumulate (in_win.obj)
      64.669   0.1      562.635   1.0   227186 _R_RenderDynamicLightmaps (gl_rsurf.obj)
      63.545   0.1       63.545   0.1    52711 _Q_strncmp (common.obj)
      63.264   0.1       63.264   0.1        2 _LoadPCX (gl_pcx.obj)
      57.397   0.1     2829.072   4.9        1 _VID_Init (gl_vidnt.obj)
      55.364   0.1       55.364   0.1    27136 _CRC_ProcessByte (crc.obj)
      52.179   0.1     1003.936   1.7     1106 _S_Update (snd_dma.obj)
      51.395   0.1       59.293   0.1    13303 _MSG_ReadAngle (common.obj)
      51.167   0.1    10103.958  17.3       30 _Mod_LoadQ3Model (gl_md3.obj)
      49.861   0.1      292.247   0.5      741 _COM_FindFile (common.obj)
      47.662   0.1       47.662   0.1    31583 _Cache_UnlinkLRU (zone.obj)
      44.456   0.1       44.456   0.1     1106 _Draw_TileClear (gl_draw.obj)
      44.382   0.1       44.382   0.1     1149 _R_DrawQmbHud (gl_hud.obj)
      44.028   0.1       44.028   0.1     2212 _Mod_PointInLeaf (gl_model.obj)
